"method","rep","sd1","sd2","n1","delta","n2","p","width"
"Student",15,1,1,10,0,10,0.347050710744829,1.42887935151128
"Welch",15,1,1,10,0,10,0.349215817527138,1.44670664247216
"Student",16,1,1,10,0,10,0.303702343765702,2.0533563317831
"Welch",16,1,1,10,0,10,0.304909054447363,2.06632427149085
"Student",17,1,1,10,0,10,0.95611646360359,2.14754980316572
"Welch",17,1,1,10,0,10,0.956171390990133,2.16151002296671
"Student",18,1,1,10,0,10,0.640914936575796,2.07072107289087
"Welch",18,1,1,10,0,10,0.64168470038025,2.09115123534014
"Student",19,1,1,10,0,10,0.695396883852607,2.41196631539295
"Welch",19,1,1,10,0,10,0.695711644910915,2.4237603505393
"Student",20,1,1,10,0,10,0.112562820859462,2.08667067910331
"Welch",20,1,1,10,0,10,0.119163191660627,2.14579960436585
"Student",21,1,1,10,0,10,0.684804678986738,1.56826022148624
"Welch",21,1,1,10,0,10,0.684923439305734,1.57103001331575
"Student",22,1,1,10,0,10,0.133637351378952,1.38212066638321
"Welch",22,1,1,10,0,10,0.136419119003755,1.39831536935157
"Student",23,1,1,10,0,10,0.375422103905979,1.94148152191259
"Welch",23,1,1,10,0,10,0.375622027135112,1.94383311146217
"Student",24,1,1,10,0,10,0.798955127954978,2.15820202887421
"Welch",24,1,1,10,0,10,0.799134098968214,2.16776588411249
"Student",25,1,1,10,0,10,0.889904251019673,1.99740368438306
"Welch",25,1,1,10,0,10,0.889993724511781,2.00572254500383
"Student",26,1,1,10,0,10,0.533846405452871,2.2070282602086
"Welch",26,1,1,10,0,10,0.535502395275932,2.24076197641218
"Student",27,1,1,10,0,10,0.197689014975914,1.20546854174098
"Welch",27,1,1,10,0,10,0.198228200966235,1.20831529178383
"Student",28,1,1,10,0,10,0.29133594909557,2.04205889261169
"Welch",28,1,1,10,0,10,0.295653263372208,2.08793882061505
"Student",29,1,1,10,0,10,0.626503856761541,1.74441855302898
"Welch",29,1,1,10,0,10,0.626619897042279,1.74686763568806
"Student",30,1,1,10,0,10,0.499842718513572,1.79488754791403
"Welch",30,1,1,10,0,10,0.502759310611201,1.83927548488268
"Student",31,1,1,10,0,10,0.885896363176172,1.71564850049612
"Welch",31,1,1,10,0,10,0.886338037098291,1.75021969355748
"Student",32,1,1,10,0,10,0.47688612790739,1.74457286251912
"Welch",32,1,1,10,0,10,0.477031201896354,1.74653987856968
"Student",33,1,1,10,0,10,0.0282099677572108,1.62494071101593
"Welch",33,1,1,10,0,10,0.0282168146080639,1.62500721043528
"Student",34,1,1,10,0,10,0.209822313781368,2.41689814089484
"Welch",34,1,1,10,0,10,0.210351026996068,2.42258214462102
"Student",35,1,1,10,0,10,0.302436493633873,2.69648309916039
"Welch",35,1,1,10,0,10,0.304448333112587,2.7249412429571
"Student",36,1,1,10,0,10,0.213457151936317,1.97277298064268
"Welch",36,1,1,10,0,10,0.217328496975369,2.00750937396502
"Student",37,1,1,10,0,10,0.0407725093285983,1.86111120915778
"Welch",37,1,1,10,0,10,0.0411957421945742,1.86520466670229
"Student",38,1,1,10,0,10,0.795513479357784,1.87431766410258
"Welch",38,1,1,10,0,10,0.795559866154916,1.87642382802082
"Student",39,1,1,10,0,10,0.825503975277803,1.95337324465634
"Welch",39,1,1,10,0,10,0.825702374470642,1.96455761421866
"Student",40,1,1,10,0,10,0.0233114771847908,2.06472128068178
"Welch",40,1,1,10,0,10,0.0245677777264377,2.08154808287012
"Student",41,1,1,10,0,10,0.951738389654058,1.39509705322563
"Welch",41,1,1,10,0,10,0.951984757673585,1.43286220529075
"Student",42,1,1,10,0,10,0.794956202050164,1.72747177945283
"Welch",42,1,1,10,0,10,0.795230149629959,1.738968766247
"Student",43,1,1,10,0,10,0.910546378627727,1.91107955984143
"Welch",43,1,1,10,0,10,0.910601072864271,1.91708756587094
"Student",44,1,1,10,0,10,0.842433789623648,1.88432076569935
"Welch",44,1,1,10,0,10,0.842492707582524,1.88787529643103
"Student",45,1,1,10,0,10,0.363766492207081,1.42477400048981
"Welch",45,1,1,10,0,10,0.364647041739021,1.43221206697478
"Student",46,1,1,10,0,10,0.289820010793335,2.22272862938088
"Welch",46,1,1,10,0,10,0.289830968935715,2.22285185264431
"Student",47,1,1,10,0,10,0.820746400115753,1.96709193237338
"Welch",47,1,1,10,0,10,0.820759104230154,1.96778881680244
"Student",48,1,1,10,0,10,0.683080028604134,1.57088991702575
"Welch",48,1,1,10,0,10,0.683619985475822,1.58350646376786
"Student",49,1,1,10,0,10,0.426993024608458,1.65349021088855
"Welch",49,1,1,10,0,10,0.427569721191591,1.66003663329332
"Student",50,1,1,10,0,10,0.0271520002437572,1.6414227946338
"Welch",50,1,1,10,0,10,0.0272109865202594,1.64201086744605
"Student",51,1,1,10,0,10,0.964986410030941,1.59185437799024
"Welch",51,1,1,10,0,10,0.965052444351231,1.60751245245213
"Student",52,1,1,10,0,10,0.10047588100612,1.65978949640584
"Welch",52,1,1,10,0,10,0.103974963905058,1.68457883585029
"Student",53,1,1,10,0,10,0.821469750081894,1.81392059184111
"Welch",53,1,1,10,0,10,0.82194057481204,1.8381683418452
"Student",54,1,1,10,0,10,0.584554695343592,2.33492682278884
"Welch",54,1,1,10,0,10,0.58487744864749,2.342913157126
"Student",55,1,1,10,0,10,0.793541433817139,2.24631143167847
"Welch",55,1,1,10,0,10,0.793552740616046,2.2469197727578
"Student",56,1,1,10,0,10,0.95773863384896,1.88798757752626
"Welch",56,1,1,10,0,10,0.957802657092746,1.90286566294415
"Student",57,1,1,10,0,10,0.853697938856844,1.20105418561026
"Welch",57,1,1,10,0,10,0.853746465010905,1.20307062330855
"Student",58,1,1,10,0,10,0.977596678423416,1.57672185101317
"Welch",58,1,1,10,0,10,0.977597743999301,1.57710937521833
"Student",59,1,1,10,0,10,0.596741646265053,1.58971989373357
"Welch",59,1,1,10,0,10,0.597185283795669,1.59749658959429
"Student",60,1,1,10,0,10,0.658563990862405,2.62752303198049
"Welch",60,1,1,10,0,10,0.658599658217089,2.62878769957637
"Student",61,1,1,10,0,10,0.354176251522514,1.59711548574585
"Welch",61,1,1,10,0,10,0.356470610898008,1.61858313745132
"Student",62,1,1,10,0,10,0.435623893453828,2.02837747877486
"Welch",62,1,1,10,0,10,0.436463214165341,2.04034314970559
"Student",63,1,1,10,0,10,0.370004366326878,1.91933565331079
"Welch",63,1,1,10,0,10,0.370272116462342,1.92241263321883
"Student",64,1,1,10,0,10,0.551244361796628,2.36017757421439
"Welch",64,1,1,10,0,10,0.551417634364349,2.36408970039134
"Student",65,1,1,10,0,10,0.794345219318004,1.95167036172483
"Welch",65,1,1,10,0,10,0.794345304319979,1.9516743509551
"Student",66,1,1,10,0,10,0.0287899483352486,1.61643273372461
"Welch",66,1,1,10,0,10,0.029970840274953,1.62775914220801
"Student",67,1,1,10,0,10,0.419395072358204,2.19287610799113
"Welch",67,1,1,10,0,10,0.419684653354336,2.1971458281167
"Student",68,1,1,10,0,10,0.311002104621643,1.992331845761
"Welch",68,1,1,10,0,10,0.312133520331171,2.00429675895941
"Student",69,1,1,10,0,10,0.494882356636303,1.84739737941375
"Welch",69,1,1,10,0,10,0.495249194601866,1.85293543663446
"Student",70,1,1,10,0,10,0.253387370027786,1.51196982062489
"Welch",70,1,1,10,0,10,0.253388291445774,1.51197642329722
"Student",71,1,1,10,0,10,0.0955212869848159,2.07566956693025
"Welch",71,1,1,10,0,10,0.0967667876436889,2.08665599341586
"Student",72,1,1,10,0,10,0.0388838833252567,1.22136372317671
"Welch",72,1,1,10,0,10,0.0394552031334476,1.2250520223645
"Student",73,1,1,10,0,10,0.0549478130549391,1.71699700758631
"Welch",73,1,1,10,0,10,0.0554309063794842,1.72092413627955
"Student",74,1,1,10,0,10,0.98313497281398,2.06522681214476
"Welch",74,1,1,10,0,10,0.983139894045967,2.06834575321548
"Student",75,1,1,10,0,10,0.515649370932484,1.94756057015852
"Welch",75,1,1,10,0,10,0.516885364964537,1.96856383280469
"Student",76,1,1,10,0,10,0.781578131810994,2.09727134503643
"Welch",76,1,1,10,0,10,0.781708442106296,2.10344452614038
"Student",77,1,1,10,0,10,0.194832798760287,2.34688240067083
"Welch",77,1,1,10,0,10,0.194833092831527,2.34688540492758
"Student",78,1,1,10,0,10,0.128622191552781,2.09129814495829
"Welch",78,1,1,10,0,10,0.128651919508066,2.09155660944837
"Student",79,1,1,10,0,10,0.909493805680531,2.01720147500001
"Welch",79,1,1,10,0,10,0.909823457257228,2.05560171249097
"Student",80,1,1,10,0,10,0.271019127513862,2.50567516064804
"Welch",80,1,1,10,0,10,0.271925140391724,2.51682543622033
"Student",81,1,1,10,0,10,0.540672582213509,1.79900606224213
"Welch",81,1,1,10,0,10,0.541797451799902,1.81795786256641
"Student",82,1,1,10,0,10,0.684704360198334,1.99938155744077
"Welch",82,1,1,10,0,10,0.684706264638089,1.99943805785076
"Student",83,1,1,10,0,10,0.56720862641238,1.84980955964314
"Welch",83,1,1,10,0,10,0.567464172086183,1.85455625546624
"Student",84,1,1,10,0,10,0.61608540659528,1.53519581104607
"Welch",84,1,1,10,0,10,0.616103318775512,1.53551685832968
"Student",85,1,1,10,0,10,0.484455525855895,2.04733781116049
"Welch",85,1,1,10,0,10,0.485656147895845,2.06701133770606
"Student",86,1,1,10,0,10,0.760354770423047,1.83203146131347
"Welch",86,1,1,10,0,10,0.761178617423969,1.86326280702391
"Student",87,1,1,10,0,10,0.848214590119174,2.06911909094076
"Welch",87,1,1,10,0,10,0.848350405940711,2.07850267416903
"Student",88,1,1,10,0,10,0.0889151432481093,1.43296761464911
"Welch",88,1,1,10,0,10,0.0889263909284385,1.43303637916735
"Student",89,1,1,10,0,10,0.586199160642824,1.64992818509454
"Welch",89,1,1,10,0,10,0.586660672015007,1.65805214453212
"Student",90,1,1,10,0,10,0.392310787550918,2.2551141976606
"Welch",90,1,1,10,0,10,0.392599574678369,2.2592189077175
"Student",91,1,1,10,0,10,0.387081353129862,1.77275049048927
"Welch",91,1,1,10,0,10,0.3873199021666,1.77538271703755
"Student",92,1,1,10,0,10,0.444742030099601,0.910512966542375
"Welch",92,1,1,10,0,10,0.445523729321698,0.915629473863788
"Student",93,1,1,10,0,10,0.808857866600079,1.79243750149434
"Welch",93,1,1,10,0,10,0.80890549433851,1.79466211337553
"Student",94,1,1,10,0,10,0.860374037800714,1.52603338538647
"Welch",94,1,1,10,0,10,0.860382417076858,1.52649719294202
"Student",95,1,1,10,0,10,0.31463377896943,1.38704594041453
"Welch",95,1,1,10,0,10,0.315689810478241,1.39487442832351
"Student",96,1,1,10,0,10,0.274419241205872,1.70203746973102
"Welch",96,1,1,10,0,10,0.274564919096226,1.70325752941859
"Student",97,1,1,10,0,10,0.851894436176841,2.42172009883756
"Welch",97,1,1,10,0,10,0.852790884610998,2.49820566621781
"Student",98,1,1,10,0,10,0.183582389080931,1.62429050680583
"Welch",98,1,1,10,0,10,0.184173315913918,1.62842851969892
"Student",99,1,1,10,0,10,0.613195834091981,1.47115225261135
"Welch",99,1,1,10,0,10,0.614066758340899,1.48612962535239
"Student",100,1,1,10,0,10,0.164640433467113,1.52007240241157
"Welch",100,1,1,10,0,10,0.166018768585829,1.52898138045312
"Student",1,1,2,10,0,10,0.198527419391371,2.30617817392312
"Welch",1,1,2,10,0,10,0.20803398053931,2.40681769130652
"Student",2,1,2,10,0,10,0.10619533693163,3.04161353530672
"Welch",2,1,2,10,0,10,0.113628550089991,3.13935512976728
"Student",3,1,2,10,0,10,0.327221935922906,3.73916625486895
"Welch",3,1,2,10,0,10,0.332836603952757,3.85768095030256
"Student",4,1,2,10,0,10,0.988762684055749,2.37471345268475
"Welch",4,1,2,10,0,10,0.988767174920385,2.37962887963938
"Student",5,1,2,10,0,10,0.497774571581727,2.68291034666716
"Welch",5,1,2,10,0,10,0.502727378841705,2.79706579754215
"Student",6,1,2,10,0,10,0.476042054172686,3.15672342277405
"Welch",6,1,2,10,0,10,0.481444274784532,3.29515824794571
"Student",7,1,2,10,0,10,0.153405042840814,2.79176278191839
"Welch",7,1,2,10,0,10,0.156380339224079,2.82707076004276
"Student",8,1,2,10,0,10,0.987972528867221,2.35181814010066
"Welch",8,1,2,10,0,10,0.987989972054172,2.36958572374386
"Student",9,1,2,10,0,10,0.261595469410056,3.18347169726431
"Welch",9,1,2,10,0,10,0.270401213865366,3.3250796348538
"Student",10,1,2,10,0,10,0.0978554848198221,2.6018838699702
"Welch",10,1,2,10,0,10,0.106212734540706,2.69690392534311
"Student",11,1,2,10,0,10,0.473895354309721,3.29290143540375
"Welch",11,1,2,10,0,10,0.476715237503844,3.36616501426651
"Student",12,1,2,10,0,10,0.790040296718663,4.35803085650318
"Welch",12,1,2,10,0,10,0.792085947124049,4.57881767884583
"Student",13,1,2,10,0,10,0.556298379451272,3.44460029016079
"Welch",13,1,2,10,0,10,0.560786316774877,3.60182456435964
"Student",14,1,2,10,0,10,0.96624870447961,3.12461316088608
"Welch",14,1,2,10,0,10,0.966528875498095,3.26482530053927
"Student",15,1,2,10,0,10,0.237102884696049,2.55246949084485
"Welch",15,1,2,10,0,10,0.238773582713442,2.57232953728606
"Student",16,1,2,10,0,10,0.294666893627938,2.58546457124425
"Welch",16,1,2,10,0,10,0.302357514482853,2.69175680951292
"Student",17,1,2,10,0,10,0.387630619765168,3.74677608200737
"Welch",17,1,2,10,0,10,0.394799319582394,3.92267935147667
"Student",18,1,2,10,0,10,0.113307732183345,2.32682451859626
"Welch",18,1,2,10,0,10,0.114449040053681,2.33794997487576
"Student",19,1,2,10,0,10,0.0147957567600375,2.60357176433348
"Welch",19,1,2,10,0,10,0.0172458231107293,2.65448902190115
"Student",20,1,2,10,0,10,0.846170829061002,2.69717848123952
"Welch",20,1,2,10,0,10,0.846996279142715,2.77227663123711
"Student",21,1,2,10,0,10,0.0205242485667911,2.84875941695187
"Welch",21,1,2,10,0,10,0.0267564758142274,2.97032396817001
"Student",22,1,2,10,0,10,0.929815843062358,3.14991547869444
"Welch",22,1,2,10,0,10,0.930439785810915,3.30115280489196
"Student",23,1,2,10,0,10,0.979588437739035,3.62616548768059
"Welch",23,1,2,10,0,10,0.97973807520198,3.76920184522258
"Student",24,1,2,10,0,10,0.176743786301438,3.03168110328819
"Welch",24,1,2,10,0,10,0.180956920501699,3.08734827109506
"Student",25,1,2,10,0,10,0.538391679620648,2.72838464937123
"Welch",25,1,2,10,0,10,0.542222152353182,2.82833578538211
"Student",26,1,2,10,0,10,0.80919897523133,3.33878499292477
"Welch",26,1,2,10,0,10,0.811160728276222,3.51928315941128
"Student",27,1,2,10,0,10,0.020521831673794,2.38557903113046
"Welch",27,1,2,10,0,10,0.0236706389410594,2.43707134047011
"Student",28,1,2,10,0,10,0.632305614056192,2.58712185328128
"Welch",28,1,2,10,0,10,0.634294655291497,2.65221501660183
"Student",29,1,2,10,0,10,0.697633513632198,3.27086941499511
"Welch",29,1,2,10,0,10,0.699442132378887,3.3659365628978
"Student",30,1,2,10,0,10,0.613694815795985,2.61582696788593
"Welch",30,1,2,10,0,10,0.614152079019555,2.6297595096934
"Student",31,1,2,10,0,10,0.186227699729141,3.15496701777881
"Welch",31,1,2,10,0,10,0.188994521165528,3.19311672722878
"Student",32,1,2,10,0,10,0.39944267408696,2.43554955241922
"Welch",32,1,2,10,0,10,0.403332183882323,2.49787660767647
"Student",33,1,2,10,0,10,0.688463173605619,2.99444700088779
"Welch",33,1,2,10,0,10,0.689979803007837,3.06449845791828
"Student",34,1,2,10,0,10,0.909602732087631,3.36274964926353
"Welch",34,1,2,10,0,10,0.909930807462923,3.4265317462185
"Student",35,1,2,10,0,10,0.953787356515466,3.67594795922888
"Welch",35,1,2,10,0,10,0.954036152181826,3.78107694981922
"Student",36,1,2,10,0,10,0.637995028560931,2.78105808296422
"Welch",36,1,2,10,0,10,0.641601148174583,2.91338640058081
"Student",37,1,2,10,0,10,0.573780764550856,3.59597070641925
"Welch",37,1,2,10,0,10,0.575383899180004,3.65591898330882
"Student",38,1,2,10,0,10,0.852044872723785,2.28986036968916
"Welch",38,1,2,10,0,10,0.853196912795218,2.38379083214489
"Student",39,1,2,10,0,10,0.96263796042996,3.16736489922316
"Welch",39,1,2,10,0,10,0.962833671649936,3.25550174262732
"Student",40,1,2,10,0,10,0.215956437975621,2.39612525925012
"Welch",40,1,2,10,0,10,0.219242059310867,2.43194926065553
"Student",41,1,2,10,0,10,0.00289954609880628,1.40657473647598
"Welch",41,1,2,10,0,10,0.00387008883890806,1.43365888123727
"Student",42,1,2,10,0,10,0.524149395883314,3.79461552085089
"Welch",42,1,2,10,0,10,0.527126223743917,3.89732018982853
"Student",43,1,2,10,0,10,0.869840804924768,2.86334677835214
"Welch",43,1,2,10,0,10,0.870732826303848,2.96674990648603
"Student",44,1,2,10,0,10,0.100581059623694,2.55930395736499
"Welch",44,1,2,10,0,10,0.10713122206266,2.63180080587789
"Student",45,1,2,10,0,10,0.681487290547067,2.54839118189037
"Welch",45,1,2,10,0,10,0.684001030984668,2.64613499477929
"Student",46,1,2,10,0,10,0.230736955656163,3.07655563961432
"Welch",46,1,2,10,0,10,0.231832948068354,3.09205699865303
"Student",47,1,2,10,0,10,0.378160917059319,2.80390596031896
"Welch",47,1,2,10,0,10,0.384966896252551,2.92575473795836
"Student",48,1,2,10,0,10,0.472845692421546,2.59659071492163
"Welch",48,1,2,10,0,10,0.476877849266623,2.67983620053154
"Student",49,1,2,10,0,10,0.241790177396289,3.02681189861822
"Welch",49,1,2,10,0,10,0.248459529175099,3.12415560460237
"Student",50,1,2,10,0,10,0.535976111019051,2.81063659026173
"Welch",50,1,2,10,0,10,0.53597992796221,2.81073458908055
"Student",51,1,2,10,0,10,0.321852635483291,3.00784298834669
"Welch",51,1,2,10,0,10,0.324266140985376,3.04755165134326
"Student",52,1,2,10,0,10,0.41151250086456,2.43475808118232
"Welch",52,1,2,10,0,10,0.411933168998843,2.44152108055909
"Student",53,1,2,10,0,10,0.999604956765313,3.76179384807383
"Welch",53,1,2,10,0,10,0.999607688772628,3.90151280107985
"Student",54,1,2,10,0,10,0.452477288032468,2.64767805250837
"Welch",54,1,2,10,0,10,0.453887347045619,2.67519148472325
"Student",55,1,2,10,0,10,0.10400847067384,2.94472983491047
"Welch",55,1,2,10,0,10,0.113783699847533,3.07065530409846
"Student",56,1,2,10,0,10,0.880665298472964,2.09086812759063
"Welch",56,1,2,10,0,10,0.881410721331961,2.15966106514266
"Student",57,1,2,10,0,10,0.190128038768406,3.09427812662673
"Welch",57,1,2,10,0,10,0.196884622289993,3.18791887512436
"Student",58,1,2,10,0,10,0.956192894647628,2.63703849128303
"Welch",58,1,2,10,0,10,0.956346686245854,2.68572021820185
"Student",59,1,2,10,0,10,0.684014733407284,1.96830199455946
"Welch",59,1,2,10,0,10,0.684353699498174,1.97822928557038
"Student",60,1,2,10,0,10,0.577186709087883,3.12842953626627
"Welch",60,1,2,10,0,10,0.581368791061523,3.27005163998694
"Student",61,1,2,10,0,10,0.207170470217566,2.64983073214645
"Welch",61,1,2,10,0,10,0.208041248390758,2.66007619622642
"Student",62,1,2,10,0,10,0.455199884856454,2.08961304733754
"Welch",62,1,2,10,0,10,0.457031018833434,2.11810917061537
"Student",63,1,2,10,0,10,0.436535885510738,3.71526256023312
"Welch",63,1,2,10,0,10,0.444131212019966,3.92507940425885
"Student",64,1,2,10,0,10,0.627308787204437,2.6119004133275
"Welch",64,1,2,10,0,10,0.628240919873207,2.6417531863794
"Student",65,1,2,10,0,10,0.233758642303326,3.05650144664518
"Welch",65,1,2,10,0,10,0.238662818617652,3.12716377869397
"Student",66,1,2,10,0,10,0.632293394820521,4.70551944923211
"Welch",66,1,2,10,0,10,0.63564812637545,4.90893491414366
"Student",67,1,2,10,0,10,0.103288558571753,2.1344925135154
"Welch",67,1,2,10,0,10,0.107133499376032,2.16949117582849
"Student",68,1,2,10,0,10,0.358888086377908,3.01476429554992
"Welch",68,1,2,10,0,10,0.365173534304498,3.13001572425229
"Student",69,1,2,10,0,10,0.742472984803982,2.43390061951119
"Welch",69,1,2,10,0,10,0.742508839269751,2.43553795852785
"Student",70,1,2,10,0,10,0.322287900439323,2.24915797466882
"Welch",70,1,2,10,0,10,0.32671162210356,2.30432196011777
"Student",71,1,2,10,0,10,0.013492202298384,2.18307682908998
"Welch",71,1,2,10,0,10,0.0139428722316254,2.19137856390998
"Student",72,1,2,10,0,10,0.445374083608179,1.91337457633483
"Welch",72,1,2,10,0,10,0.44601379598424,1.92217770081596
"Student",73,1,2,10,0,10,0.80907192618189,3.56168400381442
"Welch",73,1,2,10,0,10,0.809476918201287,3.5996924227288
"Student",74,1,2,10,0,10,0.0881793094010531,3.03397808273443
"Welch",74,1,2,10,0,10,0.0895399274812203,3.05170838779767
"Student",75,1,2,10,0,10,0.266553643556992,1.44758609580111
"Welch",75,1,2,10,0,10,0.266798497231081,1.44930680181496
"Student",76,1,2,10,0,10,0.325462051414443,2.71992673574502
"Welch",76,1,2,10,0,10,0.327228113302884,2.74629305781175
"Student",77,1,2,10,0,10,0.483493315118079,2.328686083945
"Welch",77,1,2,10,0,10,0.48374366301996,2.33330143971631
"Student",78,1,2,10,0,10,0.774623864592117,3.34602215615405
"Welch",78,1,2,10,0,10,0.77582583983353,3.43600689205947
"Student",79,1,2,10,0,10,0.723967402129882,3.27211650305843
"Welch",79,1,2,10,0,10,0.725042777564786,3.33431068248186
"Student",80,1,2,10,0,10,0.536630257975205,2.52280645332006
"Welch",80,1,2,10,0,10,0.538707651032732,2.57178187322325
"Student",81,1,2,10,0,10,0.273673282771779,2.52884045492256
"Welch",81,1,2,10,0,10,0.274342954699493,2.53718701251524
"Student",82,1,2,10,0,10,0.616130167279276,2.36873345527085
"Welch",82,1,2,10,0,10,0.620507583604698,2.49677668969555
"Student",83,1,2,10,0,10,0.155731479267068,2.3921475201842
"Welch",83,1,2,10,0,10,0.162199612986676,2.45912685198608
"Student",84,1,2,10,0,10,0.494902329867201,3.36190053355374
"Welch",84,1,2,10,0,10,0.49869226169572,3.46931587415559
"Student",85,1,2,10,0,10,0.831181949208258,2.82250514273751
"Welch",85,1,2,10,0,10,0.83186990178964,2.88146697388265
"Student",86,1,2,10,0,10,0.451176386873739,2.00435077888379
"Welch",86,1,2,10,0,10,0.452975069529069,2.03091452511616
"Student",87,1,2,10,0,10,0.591126008688721,3.91109658433027
"Welch",87,1,2,10,0,10,0.595234387324934,4.0929053523516
"Student",88,1,2,10,0,10,0.128984807662584,3.17373264375498
"Welch",88,1,2,10,0,10,0.138381412001917,3.30315396589303
"Student",89,1,2,10,0,10,0.446952681751701,2.4735351746853
"Welch",89,1,2,10,0,10,0.447354566111463,2.48069967144202
"Student",90,1,2,10,0,10,0.402079013422761,3.02128580240047
"Welch",90,1,2,10,0,10,0.408371995997226,3.14945011451516
"Student",91,1,2,10,0,10,0.0635506985955901,2.43162378161309
"Welch",91,1,2,10,0,10,0.0711800386867673,2.51846108044796
"Student",92,1,2,10,0,10,0.723005409828769,3.32429728213791
"Welch",92,1,2,10,0,10,0.725067952317035,3.44725250734598
"Student",93,1,2,10,0,10,0.782780540236692,3.76020603162275
"Welch",93,1,2,10,0,10,0.784855966229514,3.94621834520935
"Student",94,1,2,10,0,10,0.537268281151343,3.45804912162775
"Welch",94,1,2,10,0,10,0.54113594690356,3.58558087307473
"Student",95,1,2,10,0,10,0.155549112496181,3.2558763367759
"Welch",95,1,2,10,0,10,0.165552177033962,3.39928348116924
"Student",96,1,2,10,0,10,0.927983699653602,3.03120758003888
"Welch",96,1,2,10,0,10,0.928122221828433,3.06149286305026
"Student",97,1,2,10,0,10,0.0955485041766085,3.09926064600928
"Welch",97,1,2,10,0,10,0.0992629521665714,3.14869340708124
"Student",98,1,2,10,0,10,0.910597629489365,2.75396800921361
"Welch",98,1,2,10,0,10,0.911137575658121,2.84207542217658
"Student",99,1,2,10,0,10,0.822141555782607,3.99627526503849
"Welch",99,1,2,10,0,10,0.823563832088231,4.16306439573539
"Student",100,1,2,10,0,10,0.520476607344719,3.25941188177724
"Welch",100,1,2,10,0,10,0.525899032204922,3.42228696943037
"Student",1,1,3,10,0,10,0.138216849530953,3.60428819899656
"Welch",1,1,3,10,0,10,0.149575625981599,3.78403114620934
"Student",2,1,3,10,0,10,0.368721042734796,4.80633655416269
"Welch",2,1,3,10,0,10,0.377470691104297,5.07254925774407
"Student",3,1,3,10,0,10,0.193415675492278,3.6466092117753
"Welch",3,1,3,10,0,10,0.205144357779229,3.84393544405191
"Student",4,1,3,10,0,10,0.653777155624213,3.92066968661494
"Welch",4,1,3,10,0,10,0.654921324917588,3.98114129761611
"Student",5,1,3,10,0,10,0.0203088336164685,3.68649784114144
"Welch",5,1,3,10,0,10,0.0247011110481864,3.79791983822244
"Student",6,1,3,10,0,10,0.128150366625138,3.21356740677915
"Welch",6,1,3,10,0,10,0.135882468837607,3.3205590963274
"Student",7,1,3,10,0,10,0.444648903069635,3.4297740147378
"Welch",7,1,3,10,0,10,0.448666126596753,3.53141231501355
"Student",8,1,3,10,0,10,0.0153665311551698,3.06747484761036
"Welch",8,1,3,10,0,10,0.0199127978133667,3.17611661384127
"Student",9,1,3,10,0,10,0.125457091609352,3.38316145789371
"Welch",9,1,3,10,0,10,0.132837824420513,3.490490784572
"Student",10,1,3,10,0,10,0.92447070960409,3.4195531634385
"Welch",10,1,3,10,0,10,0.92505415674219,3.56116132515633
"Student",11,1,3,10,0,10,0.791069222403531,3.65062084443302
"Welch",11,1,3,10,0,10,0.793380676184877,3.8622447665936
"Student",12,1,3,10,0,10,0.120122603294966,5.54506962219604
"Welch",12,1,3,10,0,10,0.135418705043933,5.92336223209736
"Student",13,1,3,10,0,10,0.741547645379613,5.17102726730425
"Welch",13,1,3,10,0,10,0.743664187166132,5.3843168504852
"Student",14,1,3,10,0,10,0.534808865221015,2.2446584102353
"Welch",14,1,3,10,0,10,0.535996764859139,2.26922274055599
"Student",15,1,3,10,0,10,0.584827384783257,3.87819029859566
"Welch",15,1,3,10,0,10,0.589392107006582,4.075488274531
"Student",16,1,3,10,0,10,0.749080882533376,3.62037966280364
"Welch",16,1,3,10,0,10,0.74986444324632,3.67604084694385
"Student",17,1,3,10,0,10,0.523926632767726,4.10764288692101
"Welch",17,1,3,10,0,10,0.530681546722931,4.36946412585168
"Student",18,1,3,10,0,10,0.967570664993301,3.80633896772677
"Welch",18,1,3,10,0,10,0.967793869417183,3.94684832745115
"Student",19,1,3,10,0,10,0.886358514405054,2.50661281929207
"Welch",19,1,3,10,0,10,0.886996422140893,2.58057323148991
"Student",20,1,3,10,0,10,0.981599922244231,3.91630853997246
"Welch",20,1,3,10,0,10,0.981750878215875,4.09005549667488
"Student",21,1,3,10,0,10,0.827059911124758,4.73235247269268
"Welch",21,1,3,10,0,10,0.828616540848383,4.95631012951748
"Student",22,1,3,10,0,10,0.333114358806091,4.5010480905355
"Welch",22,1,3,10,0,10,0.342993539987787,4.7624534493502
"Student",23,1,3,10,0,10,0.564791040146178,5.1757147589439
"Welch",23,1,3,10,0,10,0.570837778995233,5.50834531901469
"Student",24,1,3,10,0,10,0.830150946079384,4.29814994166171
"Welch",24,1,3,10,0,10,0.831979817540479,4.54415055360882
"Student",25,1,3,10,0,10,0.595333096633644,5.12411505067955
"Welch",25,1,3,10,0,10,0.600464244171377,5.42957349457709
"Student",26,1,3,10,0,10,0.192751899873745,5.60594524485932
"Welch",26,1,3,10,0,10,0.203304454550101,5.87698686320151
"Student",27,1,3,10,0,10,0.772413736710604,2.79975420301529
"Welch",27,1,3,10,0,10,0.773489981203227,2.86623560708223
"Student",28,1,3,10,0,10,0.530989678180213,5.76755359008133
"Welch",28,1,3,10,0,10,0.536787988309576,6.08676101052959
"Student",29,1,3,10,0,10,0.446808712542626,4.2708351953804
